sex,recency,history,mens_product_purchase,womens_product_purchase,area_classification,newbie,channel,segment,visit,conversion,spend
男性,6,16710,0,1,都会,1,スマートフォン,送付なし,0,0,0
女性,6,7106,0,1,郊外,1,スマートフォン,送付なし,0,0,0
男性,11,25620,1,0,郊外,0,ウェブ,送付あり,1,0,0
女性,3,31905,1,1,郊外,0,複数,送付なし,0,0,0
男性,8,10127,0,1,都会,0,スマートフォン,送付あり,1,0,0
女性,1,62336,0,1,地方,1,複数,送付なし,1,0,0
女性,4,21932,1,0,地方,0,ウェブ,送付なし,0,0,0
男性,12,2999,0,1,郊外,0,ウェブ,送付あり,1,0,0
男性,1,4796,0,1,郊外,0,スマートフォン,送付なし,0,0,0
男性,2,38523,0,1,都会,0,ウェブ,送付なし,0,0,0
女性,3,2999,1,0,都会,1,スマートフォン,送付あり,1,0,0
男性,4,6843,1,0,都会,0,ウェブ,送付なし,1,0,0
男性,5,13436,1,0,郊外,0,ウェブ,送付あり,1,0,0
男性,2,2999,0,1,都会,0,スマートフォン,送付あり,1,0,0
女性,5,18339,1,0,都会,0,スマートフォン,送付あり,1,0,0
男性,7,2999,1,0,都会,0,スマートフォン,送付なし,0,0,0
男性,10,14906,0,1,郊外,0,スマートフォン,送付あり,1,0,0
男性,2,31801,0,1,都会,0,複数,送付あり,1,0,0
女性,4,3817,0,1,郊外,0,スマートフォン,送付あり,1,0,0
女性,4,8230,0,1,都会,1,ウェブ,送付なし,0,0,0
女性,11,2999,1,0,地方,0,ウェブ,送付あり,1,0,0
女性,9,5076,1,0,都会,1,ウェブ,送付あり,0,0,0
男性,12,10347,1,0,郊外,1,スマートフォン,送付あり,0,0,0
男性,1,4410,0,1,郊外,0,ウェブ,送付なし,0,0,0
女性,1,14652,1,0,郊外,1,スマートフォン,送付あり,0,0,0
男性,6,16488,1,0,都会,1,ウェブ,送付なし,0,0,0
女性,7,32392,1,0,郊外,0,ウェブ,送付なし,0,0,0
男性,7,72984,0,1,郊外,1,スマートフォン,送付あり,0,0,0
女性,9,24626,1,0,郊外,1,スマートフォン,送付なし,0,0,0
女性,1,8292,1,0,都会,1,ウェブ,送付あり,1,0,0
女性,6,10959,1,0,都会,1,スマートフォン,送付なし,0,0,0
男性,10,8040,1,0,郊外,1,スマートフォン,送付なし,1,0,0
女性,9,2999,1,0,郊外,0,スマートフォン,送付あり,1,0,0
男性,2,22637,1,0,地方,0,ウェブ,送付なし,0,0,0
男性,6,9426,1,0,都会,0,スマートフォン,送付あり,1,0,0
男性,1,50111,1,0,都会,1,複数,送付あり,0,0,0
男性,9,2999,0,1,都会,0,ウェブ,送付なし,0,0,0
女性,9,3392,1,0,郊外,1,スマートフォン,送付あり,1,0,0
女性,4,18731,1,0,都会,0,ウェブ,送付なし,1,0,0
女性,2,13254,1,0,都会,1,スマートフォン,送付なし,0,0,0
男性,10,12746,0,1,地方,1,スマートフォン,送付あり,0,0,0
女性,6,2999,1,0,郊外,0,スマートフォン,送付あり,1,0,0
女性,3,34067,1,0,都会,0,複数,送付なし,1,0,0
男性,1,77494,1,0,地方,1,複数,送付なし,1,0,0
男性,3,9978,0,1,地方,1,スマートフォン,送付あり,1,0,0
男性,7,55083,1,0,地方,1,スマートフォン,送付なし,0,0,0
男性,10,11162,1,0,地方,1,ウェブ,送付なし,0,0,0
女性,5,6823,1,0,都会,0,ウェブ,送付あり,1,0,0
男性,6,5675,0,1,郊外,0,スマートフォン,送付なし,0,0,0
女性,1,2999,1,0,都会,1,ウェブ,送付なし,1,0,0
男性,9,19217,0,1,地方,0,ウェブ,送付なし,0,0,0
女性,2,18249,1,0,都会,1,スマートフォン,送付あり,1,0,0
女性,1,43140,1,0,都会,0,複数,送付なし,1,0,0
女性,10,22207,1,1,都会,0,ウェブ,送付なし,1,0,0
女性,3,15369,1,0,郊外,0,ウェブ,送付あり,1,0,0
男性,10,8946,1,0,地方,1,ウェブ,送付あり,0,0,0
女性,10,9864,0,1,都会,1,スマートフォン,送付あり,0,0,0
女性,9,2999,0,1,地方,0,スマートフォン,送付あり,1,0,0
男性,12,2999,0,1,郊外,0,スマートフォン,送付あり,1,0,0
女性,10,9980,1,0,都会,0,スマートフォン,送付あり,1,0,0
女性,3,4921,0,1,郊外,0,スマートフォン,送付なし,0,0,0
男性,9,23774,1,0,郊外,0,ウェブ,送付なし,0,0,0
男性,8,11274,1,0,都会,1,ウェブ,送付あり,0,0,0
男性,10,26142,1,0,郊外,1,ウェブ,送付あり,0,0,0
男性,6,31142,0,1,都会,1,スマートフォン,送付あり,1,0,0
男性,6,45933,0,1,都会,0,スマートフォン,送付あり,1,0,0
男性,9,71452,0,1,都会,1,スマートフォン,送付あり,0,0,0
男性,10,20067,1,0,都会,0,スマートフォン,送付なし,0,0,0
女性,3,14068,0,1,郊外,0,スマートフォン,送付なし,0,0,0
男性,4,31033,1,1,都会,0,複数,送付なし,1,0,0
女性,10,2999,1,0,郊外,0,スマートフォン,送付なし,0,0,0
女性,8,7406,1,0,郊外,1,ウェブ,送付なし,0,0,0
女性,2,14393,1,0,郊外,0,スマートフォン,送付なし,0,0,0
男性,11,17528,1,0,都会,0,ウェブ,送付あり,1,0,0
男性,11,8680,0,1,都会,1,ウェブ,送付あり,0,0,0
女性,5,36989,1,0,郊外,0,ウェブ,送付なし,1,0,0
女性,10,2999,0,1,郊外,1,ウェブ,送付あり,0,0,0
男性,9,12313,1,0,郊外,1,ウェブ,送付なし,0,0,0
女性,10,8946,1,0,地方,0,ウェブ,送付あり,1,0,0
男性,4,81408,0,1,郊外,1,ウェブ,送付あり,0,0,0
女性,1,5224,1,0,郊外,1,ウェブ,送付なし,1,0,0
女性,4,42172,1,1,郊外,0,複数,送付なし,1,0,0
男性,1,14794,0,1,地方,0,スマートフォン,送付あり,1,0,0
男性,4,2999,0,1,都会,0,ウェブ,送付あり,1,0,0
男性,1,32398,0,1,都会,0,ウェブ,送付なし,0,0,0
男性,11,2999,1,0,都会,1,スマートフォン,送付なし,0,0,0
男性,2,2999,0,1,郊外,0,ウェブ,送付なし,0,0,0
女性,2,3974,0,1,都会,0,ウェブ,送付あり,1,0,0
女性,2,27764,0,1,都会,0,複数,送付あり,1,0,0
男性,2,2999,0,1,都会,1,スマートフォン,送付あり,0,0,0
男性,10,92168,0,1,郊外,1,複数,送付なし,0,0,0
男性,9,3822,0,1,郊外,1,ウェブ,送付あり,0,0,0
男性,10,10085,0,1,都会,1,ウェブ,送付なし,0,0,0
女性,11,17781,1,0,郊外,1,ウェブ,送付なし,0,0,0
女性,11,33599,1,0,都会,0,スマートフォン,送付なし,0,0,0
女性,7,51984,1,1,都会,1,複数,送付なし,0,0,0
女性,6,44540,1,0,地方,0,複数,送付なし,0,0,0
女性,7,33245,1,0,郊外,0,複数,送付なし,1,0,0
男性,5,9838,0,1,郊外,1,ウェブ,送付なし,0,0,0
女性,1,34523,1,0,都会,0,スマートフォン,送付なし,1,0,0
男性,2,107822,1,0,地方,1,スマートフォン,送付あり,0,0,0
男性,2,64914,1,1,都会,1,複数,送付あり,0,0,0
女性,7,33593,0,1,都会,0,ウェブ,送付あり,1,0,0
男性,2,6840,0,1,郊外,1,ウェブ,送付あり,0,0,0
女性,1,14847,1,0,都会,1,ウェブ,送付あり,1,0,0
女性,7,73687,0,1,郊外,1,ウェブ,送付なし,0,0,0
女性,2,29643,0,1,郊外,0,複数,送付あり,1,0,0
男性,8,16011,1,0,郊外,1,ウェブ,送付あり,1,0,0
男性,8,2999,0,1,郊外,0,スマートフォン,送付あり,1,0,0
男性,9,14579,1,0,郊外,1,ウェブ,送付あり,0,0,0
男性,9,2999,1,0,郊外,1,ウェブ,送付あり,0,0,0
女性,5,22293,0,1,郊外,1,ウェブ,送付なし,0,0,0
女性,2,110429,1,0,郊外,1,複数,送付あり,0,0,0
男性,8,18780,1,0,郊外,1,ウェブ,送付あり,0,0,0
男性,7,5853,0,1,都会,1,スマートフォン,送付なし,0,0,0
男性,8,25128,0,1,都会,1,スマートフォン,送付あり,0,0,0
男性,9,2999,0,1,都会,0,スマートフォン,送付なし,0,0,0
女性,6,33186,1,0,郊外,1,ウェブ,送付あり,0,0,0
男性,8,34048,1,0,郊外,0,ウェブ,送付なし,0,0,0
女性,1,149360,1,1,都会,1,複数,送付なし,1,0,0
男性,9,13338,1,0,都会,1,スマートフォン,送付あり,0,0,0
男性,9,2999,1,0,郊外,1,ウェブ,送付なし,0,0,0
女性,10,29464,0,1,都会,1,スマートフォン,送付なし,0,0,0
男性,1,47574,0,1,地方,0,複数,送付なし,0,0,0
男性,9,2999,1,0,都会,0,ウェブ,送付あり,1,0,0
男性,2,3828,0,1,郊外,1,ウェブ,送付なし,1,0,0
女性,7,30255,1,0,郊外,0,ウェブ,送付なし,0,0,0
女性,12,27623,1,0,地方,0,スマートフォン,送付なし,0,0,0
女性,1,40282,1,0,郊外,0,ウェブ,送付なし,1,0,0
女性,2,23259,0,1,地方,1,ウェブ,送付あり,0,0,0
女性,6,3264,1,0,都会,0,スマートフォン,送付あり,1,0,0
女性,2,50725,1,0,郊外,1,複数,送付あり,0,0,0
男性,1,28537,1,0,地方,0,スマートフォン,送付なし,0,0,0
男性,3,11578,0,1,都会,1,スマートフォン,送付なし,0,0,0
女性,1,38920,0,1,都会,0,スマートフォン,送付なし,1,0,0
女性,6,21862,0,1,都会,0,複数,送付あり,1,0,0
男性,6,3544,0,1,地方,0,スマートフォン,送付なし,0,0,0
女性,10,5444,0,1,郊外,0,スマートフォン,送付あり,1,0,0
女性,11,7118,0,1,都会,0,ウェブ,送付なし,0,0,0
男性,1,55542,0,1,郊外,1,複数,送付なし,0,0,0
女性,1,8759,0,1,地方,1,スマートフォン,送付なし,1,0,0
男性,11,24110,0,1,都会,1,複数,送付あり,0,0,0
男性,1,4144,1,0,都会,1,ウェブ,送付あり,1,0,0
女性,9,18421,0,1,郊外,0,ウェブ,送付あり,1,0,0
男性,1,27205,1,1,都会,1,スマートフォン,送付あり,1,0,0
女性,2,8519,1,0,都会,1,スマートフォン,送付あり,1,0,0
男性,4,19651,0,1,郊外,0,ウェブ,送付なし,0,0,0
女性,2,25120,1,1,都会,1,ウェブ,送付あり,0,0,0
女性,9,5234,1,0,都会,0,スマートフォン,送付あり,1,1,9036
男性,6,118064,1,0,地方,1,ウェブ,送付なし,1,0,0
女性,3,14766,1,0,郊外,1,ウェブ,送付あり,0,0,0
女性,5,10742,0,1,郊外,1,ウェブ,送付なし,1,0,0
男性,10,3565,0,1,地方,0,ウェブ,送付あり,1,0,0
男性,11,2999,1,0,郊外,0,ウェブ,送付なし,0,0,0
男性,5,3340,0,1,郊外,0,ウェブ,送付なし,0,0,0
女性,10,24852,0,1,郊外,0,スマートフォン,送付なし,0,0,0
男性,10,29497,1,1,郊外,0,ウェブ,送付あり,1,0,0
女性,10,19527,1,0,都会,0,ウェブ,送付なし,0,0,0
女性,6,2999,0,1,都会,0,ウェブ,送付なし,0,0,0
男性,10,27283,0,1,都会,1,複数,送付なし,0,0,0
女性,5,11852,0,1,郊外,0,スマートフォン,送付あり,1,0,0
女性,10,3870,0,1,郊外,0,ウェブ,送付あり,1,0,0
男性,9,7964,1,0,郊外,1,ウェブ,送付あり,0,0,0
男性,9,2999,0,1,郊外,1,スマートフォン,送付なし,0,0,0
男性,10,5327,0,1,都会,0,スマートフォン,送付なし,1,0,0
女性,9,2999,0,1,郊外,1,スマートフォン,送付あり,1,0,0
女性,8,2999,1,0,都会,1,ウェブ,送付あり,0,0,0
男性,2,44176,0,1,都会,0,ウェブ,送付あり,1,0,0
女性,3,62033,0,1,都会,1,スマートフォン,送付なし,0,0,0
女性,9,43443,1,0,都会,1,複数,送付なし,0,0,0
女性,9,5603,1,0,郊外,1,ウェブ,送付あり,0,0,0
男性,2,37493,1,0,都会,0,スマートフォン,送付あり,1,0,0
女性,4,33648,1,0,都会,0,複数,送付なし,1,0,0
女性,11,21251,1,1,郊外,1,スマートフォン,送付あり,0,0,0
女性,9,4545,1,0,都会,0,スマートフォン,送付あり,1,0,0
女性,9,7878,1,0,郊外,0,スマートフォン,送付なし,0,0,0
男性,5,22787,1,0,郊外,1,ウェブ,送付なし,0,0,0
女性,2,16109,1,0,都会,0,スマートフォン,送付なし,1,0,0
女性,11,9400,1,0,郊外,0,スマートフォン,送付あり,1,0,0
男性,6,2999,0,1,郊外,1,ウェブ,送付なし,0,0,0
女性,8,23522,0,1,都会,1,スマートフォン,送付なし,0,0,0
男性,5,4267,0,1,都会,0,ウェブ,送付あり,1,0,0
女性,1,16461,0,1,郊外,0,スマートフォン,送付なし,1,0,0
女性,2,11830,1,0,郊外,1,ウェブ,送付あり,1,0,0
男性,9,8696,1,0,都会,0,ウェブ,送付あり,1,0,0
女性,2,66850,1,0,郊外,1,スマートフォン,送付なし,0,0,0
男性,10,41991,1,1,都会,0,複数,送付あり,1,0,0
女性,1,20444,0,1,都会,0,スマートフォン,送付なし,1,0,0
男性,9,11896,0,1,地方,1,スマートフォン,送付なし,1,0,0
女性,8,2999,0,1,地方,1,ウェブ,送付あり,1,0,0
女性,1,18933,1,0,都会,0,スマートフォン,送付あり,1,0,0
女性,8,35629,1,1,郊外,0,複数,送付あり,1,0,0
女性,1,15494,1,0,郊外,0,スマートフォン,送付あり,1,0,0
女性,12,7372,0,1,都会,1,スマートフォン,送付あり,0,0,0
女性,2,79667,1,0,郊外,1,複数,送付なし,1,0,0
女性,10,8039,0,1,都会,0,スマートフォン,送付あり,1,0,0
男性,2,17685,1,0,都会,1,ウェブ,送付あり,1,0,0
女性,7,2999,0,1,郊外,1,ウェブ,送付なし,0,0,0
男性,11,59011,1,0,郊外,1,スマートフォン,送付なし,1,0,0
女性,10,25081,1,1,郊外,1,ウェブ,送付なし,0,0,0
女性,5,16985,1,0,郊外,1,スマートフォン,送付あり,0,0,0
女性,5,17974,0,1,都会,0,スマートフォン,送付あり,1,0,0
女性,2,3924,1,0,都会,1,ウェブ,送付なし,0,0,0
女性,4,4639,0,1,地方,1,スマートフォン,送付あり,1,0,0
女性,7,53713,1,0,郊外,1,ウェブ,送付なし,0,0,0
男性,3,34191,1,1,郊外,0,ウェブ,送付あり,1,0,0
男性,2,30041,1,0,都会,0,ウェブ,送付なし,1,0,0
男性,6,45841,0,1,都会,0,複数,送付あり,1,0,0
男性,1,64064,1,1,地方,1,複数,送付あり,1,0,0
女性,5,8938,1,0,郊外,1,ウェブ,送付あり,1,0,0
女性,2,24213,1,0,地方,0,スマートフォン,送付あり,1,1,9642
男性,8,11004,1,0,郊外,1,スマートフォン,送付なし,0,0,0
女性,9,2999,1,0,都会,1,スマートフォン,送付なし,0,0,0
男性,10,17810,1,0,都会,0,スマートフォン,送付なし,0,0,0
男性,3,14487,1,0,郊外,1,スマートフォン,送付なし,1,0,0
女性,9,14300,0,1,郊外,0,スマートフォン,送付なし,0,0,0
男性,1,34096,1,0,郊外,0,スマートフォン,送付あり,1,0,0
男性,7,10793,0,1,都会,0,ウェブ,送付あり,1,0,0
男性,10,22764,0,1,郊外,0,ウェブ,送付なし,0,0,0
男性,1,47109,1,0,郊外,0,ウェブ,送付あり,1,0,0
女性,1,6488,1,0,郊外,1,ウェブ,送付なし,0,0,0
女性,10,5877,1,0,都会,0,スマートフォン,送付なし,1,0,0
男性,1,29714,1,0,都会,0,スマートフォン,送付あり,1,0,0
男性,6,2999,1,0,都会,1,ウェブ,送付あり,0,0,0
女性,12,26057,1,1,郊外,1,複数,送付あり,0,0,0
女性,11,65610,1,0,都会,1,ウェブ,送付なし,0,0,0
女性,1,8423,0,1,都会,1,ウェブ,送付あり,1,0,0
男性,2,33092,1,0,郊外,0,ウェブ,送付なし,0,0,0
男性,2,23610,1,1,都会,1,ウェブ,送付なし,1,0,0
男性,5,23371,0,1,都会,0,ウェブ,送付あり,1,0,0
男性,10,14844,0,1,郊外,1,スマートフォン,送付なし,0,0,0
女性,3,4462,1,0,都会,1,スマートフォン,送付あり,0,0,0
男性,2,20285,1,0,地方,0,ウェブ,送付あり,1,0,0
男性,2,110474,1,1,都会,1,スマートフォン,送付あり,0,0,0
女性,12,4658,0,1,郊外,0,ウェブ,送付あり,1,0,0
男性,12,10218,0,1,郊外,1,ウェブ,送付あり,0,0,0
男性,3,2999,0,1,郊外,0,ウェブ,送付あり,1,1,20643
男性,2,13683,0,1,都会,0,ウェブ,送付あり,1,0,0
女性,8,30641,0,1,郊外,0,スマートフォン,送付あり,1,0,0
女性,11,5111,0,1,郊外,1,スマートフォン,送付なし,0,0,0
女性,6,16613,0,1,都会,1,ウェブ,送付なし,1,0,0
女性,2,54266,0,1,地方,1,複数,送付なし,1,0,0
女性,10,68635,0,1,地方,1,複数,送付なし,0,0,0
男性,6,79086,1,0,郊外,1,スマートフォン,送付なし,0,0,0
女性,10,2999,0,1,郊外,1,スマートフォン,送付なし,0,0,0
男性,10,19777,1,0,都会,0,スマートフォン,送付あり,1,0,0
男性,12,17102,0,1,地方,0,スマートフォン,送付なし,0,0,0
女性,5,4917,0,1,地方,0,スマートフォン,送付あり,1,0,0
女性,4,4074,1,0,都会,0,ウェブ,送付あり,1,0,0
女性,9,2999,0,1,地方,1,スマートフォン,送付あり,0,0,0
男性,12,15936,1,0,都会,0,ウェブ,送付あり,1,0,0
女性,10,29875,1,1,都会,1,ウェブ,送付あり,0,0,0
男性,1,50467,1,1,都会,1,複数,送付なし,1,0,0
女性,6,4633,0,1,郊外,0,スマートフォン,送付あり,1,0,0
男性,5,11870,0,1,地方,1,スマートフォン,送付あり,0,0,0
男性,1,20852,0,1,都会,1,スマートフォン,送付なし,0,0,0
女性,9,2999,0,1,地方,1,スマートフォン,送付あり,0,0,0
女性,1,25599,0,1,地方,0,スマートフォン,送付あり,1,0,0
男性,2,8422,0,1,郊外,0,スマートフォン,送付あり,1,0,0
女性,3,32816,0,1,都会,0,複数,送付あり,1,0,0
男性,5,19465,1,0,郊外,0,スマートフォン,送付なし,0,0,0
女性,5,12697,0,1,郊外,1,ウェブ,送付あり,0,0,0
女性,2,55409,1,0,都会,1,スマートフォン,送付あり,0,0,0
男性,4,49221,0,1,地方,0,ウェブ,送付あり,1,0,0
男性,5,15083,1,0,都会,0,ウェブ,送付なし,0,0,0
男性,1,9398,0,1,郊外,1,スマートフォン,送付あり,1,0,0
男性,7,7819,0,1,郊外,0,ウェブ,送付あり,1,0,0
男性,2,17718,1,0,郊外,0,スマートフォン,送付なし,0,0,0
女性,8,9158,0,1,都会,1,スマートフォン,送付なし,0,0,0
女性,5,11612,0,1,都会,1,ウェブ,送付あり,1,0,0
女性,1,7454,1,0,地方,0,スマートフォン,送付あり,1,1,3299
女性,12,2999,0,1,郊外,0,ウェブ,送付なし,0,0,0
女性,10,36927,1,1,郊外,0,スマートフォン,送付なし,0,0,0
女性,2,2999,1,0,都会,1,スマートフォン,送付なし,0,0,0
女性,12,5731,0,1,都会,0,ウェブ,送付なし,0,0,0
男性,10,18068,0,1,地方,1,ウェブ,送付なし,0,0,0
男性,1,2999,1,0,郊外,0,ウェブ,送付なし,0,0,0
男性,2,78787,0,1,郊外,1,ウェブ,送付なし,1,0,0
男性,1,16936,0,1,都会,0,ウェブ,送付なし,1,0,0
女性,1,86993,1,1,郊外,1,スマートフォン,送付あり,0,0,0
男性,4,33969,1,0,郊外,0,スマートフォン,送付あり,1,0,0
男性,2,32664,1,0,都会,0,スマートフォン,送付あり,1,0,0
男性,1,45182,0,1,郊外,0,スマートフォン,送付なし,0,0,0
男性,10,25581,0,1,都会,0,スマートフォン,送付あり,1,0,0
女性,7,7097,1,0,郊外,0,ウェブ,送付なし,0,0,0
女性,4,53152,0,1,郊外,1,複数,送付なし,1,0,0
女性,10,35580,1,0,地方,0,複数,送付なし,0,0,0
男性,1,71001,1,1,地方,1,複数,送付あり,1,0,0
女性,5,14979,0,1,郊外,0,ウェブ,送付あり,1,0,0
女性,9,12019,1,0,都会,0,ウェブ,送付なし,0,0,0
女性,9,2999,1,0,地方,0,ウェブ,送付なし,1,0,0
男性,9,21068,0,1,郊外,0,複数,送付あり,1,0,0
女性,3,9615,1,0,都会,0,スマートフォン,送付なし,0,0,0
女性,9,12580,1,0,都会,0,スマートフォン,送付あり,1,0,0
男性,6,46239,1,0,郊外,0,ウェブ,送付あり,1,0,0
男性,10,4970,1,0,都会,0,ウェブ,送付なし,0,0,0
男性,11,32722,1,0,郊外,0,ウェブ,送付なし,0,0,0
女性,7,18550,0,1,郊外,1,ウェブ,送付なし,1,0,0
女性,5,2999,0,1,郊外,1,ウェブ,送付あり,0,0,0
女性,6,46498,1,0,郊外,0,ウェブ,送付あり,1,0,0
女性,4,14106,1,0,郊外,0,スマートフォン,送付あり,1,0,0
女性,3,5748,0,1,都会,1,スマートフォン,送付あり,1,0,0
男性,7,2999,0,1,地方,0,ウェブ,送付あり,1,0,0
女性,5,3650,0,1,郊外,1,スマートフォン,送付なし,0,0,0
男性,1,62509,1,1,郊外,1,スマートフォン,送付なし,1,0,0
男性,6,17846,0,1,郊外,0,ウェブ,送付あり,1,0,0
男性,1,5807,1,0,都会,1,ウェブ,送付あり,1,0,0
女性,9,8843,0,1,郊外,0,ウェブ,送付なし,0,0,0
男性,7,22749,1,0,郊外,0,スマートフォン,送付なし,1,0,0
女性,6,49118,0,1,都会,1,複数,送付あり,0,0,0
男性,8,12021,1,0,都会,1,ウェブ,送付あり,1,0,0
男性,9,2999,1,0,都会,1,ウェブ,送付なし,0,0,0
女性,11,16054,0,1,都会,1,スマートフォン,送付あり,0,0,0
男性,1,45713,0,1,都会,0,複数,送付なし,1,0,0
女性,10,27600,0,1,都会,0,スマートフォン,送付なし,0,0,0
男性,2,18646,1,0,郊外,0,スマートフォン,送付あり,1,0,0
男性,9,39962,1,0,郊外,0,スマートフォン,送付なし,1,0,0
男性,7,35161,0,1,郊外,0,ウェブ,送付なし,0,0,0
男性,12,40352,0,1,地方,0,スマートフォン,送付なし,0,0,0
女性,1,26941,1,0,都会,0,スマートフォン,送付なし,0,0,0
男性,1,41722,1,0,郊外,0,複数,送付あり,1,0,0
女性,9,50709,0,1,地方,1,ウェブ,送付あり,0,0,0
男性,4,58148,0,1,都会,1,複数,送付あり,0,0,0
女性,3,20117,0,1,郊外,0,スマートフォン,送付あり,1,0,0
男性,5,11723,1,0,郊外,1,ウェブ,送付なし,0,0,0
女性,11,25608,1,0,郊外,0,ウェブ,送付なし,0,0,0
女性,10,2999,0,1,都会,1,スマートフォン,送付あり,0,0,0
男性,9,19398,1,0,都会,1,スマートフォン,送付あり,0,0,0
男性,2,21424,0,1,郊外,0,ウェブ,送付あり,1,0,0
女性,9,31008,1,0,都会,1,ウェブ,送付なし,0,0,0
男性,9,14861,1,0,都会,1,スマートフォン,送付あり,0,0,0
女性,3,41464,1,0,都会,1,スマートフォン,送付あり,0,0,0
男性,10,22463,0,1,都会,0,ウェブ,送付あり,1,0,0
女性,4,113134,0,1,郊外,1,複数,送付あり,0,0,0
男性,5,21946,1,0,郊外,0,スマートフォン,送付なし,1,0,0
女性,9,16613,0,1,都会,0,ウェブ,送付あり,1,0,0
女性,7,20201,1,0,都会,0,スマートフォン,送付あり,1,0,0
男性,1,94071,1,0,地方,1,ウェブ,送付なし,0,0,0
男性,8,3794,1,0,郊外,0,スマートフォン,送付あり,1,0,0
女性,1,56713,0,1,地方,1,スマートフォン,送付なし,1,0,0
女性,4,10550,0,1,郊外,0,ウェブ,送付あり,1,0,0
男性,9,42351,1,0,都会,0,スマートフォン,送付なし,0,0,0
男性,1,43119,1,0,郊外,0,複数,送付あり,1,0,0
男性,5,8847,0,1,都会,1,ウェブ,送付なし,1,0,0
男性,4,38688,0,1,郊外,1,ウェブ,送付なし,0,0,0
女性,8,11845,1,0,都会,1,スマートフォン,送付あり,0,0,0
女性,10,19194,0,1,郊外,1,ウェブ,送付あり,0,0,0
男性,10,9139,0,1,都会,0,ウェブ,送付あり,1,0,0
女性,12,67521,1,1,地方,1,複数,送付あり,0,0,0
男性,4,75319,0,1,都会,1,ウェブ,送付あり,1,0,0
女性,11,2999,1,0,郊外,0,スマートフォン,送付なし,0,0,0
女性,11,2999,1,0,地方,0,スマートフォン,送付あり,1,0,0
女性,9,10137,0,1,郊外,1,ウェブ,送付あり,0,0,0
女性,3,135185,0,1,郊外,1,複数,送付なし,0,0,0
男性,1,42515,1,1,地方,0,スマートフォン,送付なし,1,0,0
女性,9,4324,0,1,都会,0,ウェブ,送付あり,1,0,0
男性,3,3172,1,0,地方,0,スマートフォン,送付あり,1,0,0
女性,1,2999,0,1,都会,1,スマートフォン,送付あり,1,0,0
男性,4,24920,1,0,都会,0,ウェブ,送付あり,1,0,0
女性,5,2999,0,1,都会,1,ウェブ,送付なし,0,0,0
女性,2,2999,1,0,都会,0,スマートフォン,送付なし,1,0,0
女性,9,2999,0,1,郊外,1,ウェブ,送付なし,0,0,0
男性,11,9409,1,0,都会,0,ウェブ,送付なし,0,0,0
女性,2,46595,1,0,郊外,0,ウェブ,送付あり,1,0,0
男性,6,27012,0,1,都会,1,ウェブ,送付なし,0,0,0
女性,10,12102,0,1,都会,1,スマートフォン,送付なし,0,0,0
男性,5,9814,0,1,郊外,0,スマートフォン,送付なし,1,0,0
女性,7,18473,1,0,都会,0,ウェブ,送付なし,0,0,0
女性,10,27037,1,1,郊外,1,スマートフォン,送付あり,0,0,0
男性,11,2999,1,0,郊外,0,スマートフォン,送付あり,1,0,0
男性,2,28610,1,0,郊外,0,複数,送付なし,0,0,0
女性,9,15281,1,0,都会,1,ウェブ,送付なし,0,0,0
男性,2,2999,1,0,地方,0,ウェブ,送付あり,1,0,0
男性,7,69353,1,1,都会,1,複数,送付なし,1,0,0
女性,1,40578,1,0,都会,1,スマートフォン,送付なし,1,0,0
女性,9,33212,1,0,都会,0,ウェブ,送付あり,1,0,0
男性,5,11889,1,0,都会,0,ウェブ,送付あり,1,0,0
女性,2,3950,0,1,都会,1,スマートフォン,送付あり,1,0,0
男性,6,37424,0,1,都会,0,ウェブ,送付なし,1,0,0
女性,6,14106,1,0,郊外,1,スマートフォン,送付なし,0,0,0
女性,11,35925,0,1,郊外,0,ウェブ,送付なし,1,0,0
女性,9,26048,1,0,郊外,0,スマートフォン,送付あり,1,0,0
男性,5,2999,1,0,郊外,1,スマートフォン,送付なし,0,0,0
男性,4,23718,0,1,郊外,1,複数,送付なし,1,0,0
女性,5,51304,1,0,都会,1,複数,送付あり,0,0,0
男性,9,3669,0,1,郊外,0,ウェブ,送付なし,0,0,0
男性,9,22035,0,1,都会,0,複数,送付あり,1,0,0
男性,8,40104,0,1,郊外,1,複数,送付なし,0,0,0
男性,9,3467,1,0,郊外,1,ウェブ,送付なし,0,0,0
男性,1,43970,1,1,郊外,1,複数,送付あり,1,0,0
男性,12,12589,1,0,都会,0,スマートフォン,送付あり,1,0,0
女性,5,21045,1,1,郊外,1,ウェブ,送付あり,0,0,0
女性,12,44458,1,0,都会,0,スマートフォン,送付なし,0,0,0
女性,8,16647,0,1,都会,0,ウェブ,送付なし,0,0,0
男性,4,5736,1,0,都会,1,スマートフォン,送付あり,1,0,0
女性,2,35791,1,0,都会,0,スマートフォン,送付あり,1,0,0
男性,10,10256,0,1,郊外,1,スマートフォン,送付なし,1,0,0
男性,9,3715,0,1,郊外,0,ウェブ,送付なし,0,0,0
男性,8,19516,0,1,都会,1,スマートフォン,送付なし,0,0,0
女性,11,20943,1,0,都会,0,複数,送付あり,1,0,0
男性,3,23537,0,1,地方,0,複数,送付あり,1,0,0
男性,10,23425,0,1,地方,1,スマートフォン,送付なし,0,0,0
男性,1,11189,0,1,都会,0,ウェブ,送付あり,1,0,0
女性,4,8637,0,1,都会,0,スマートフォン,送付あり,1,0,0
女性,7,63094,1,0,都会,1,スマートフォン,送付あり,0,0,0
